CustomerID,Recency,Frequency,Monetary,Country,Cluster,Segment
10054,178,22,2070.71,France,3,Champions
10055,20,4,210.41,Netherlands,0,At-Risk Spenders
10056,419,1,14.379999999999999,United Kingdom,2,Lost/Hibernating
10057,289,7,274.91,United Kingdom,0,At-Risk Spenders
10058,68,6,325.34,United Kingdom,0,At-Risk Spenders
10059,37,65,2974.83,France,3,Champions
10060,289,11,485.27,Spain,0,At-Risk Spenders
10061,63,26,3705.9900000000002,Germany,3,Champions
10062,42,12,466.28000000000003,EIRE,0,At-Risk Spenders
10063,23,5,166.54,EIRE,0,At-Risk Spenders
10064,27,3,263.73,United Kingdom,0,At-Risk Spenders
10065,163,5,272.09000000000003,France,0,At-Risk Spenders
10066,125,19,1081.3700000000001,United Kingdom,3,Champions
10067,555,1,30.44,Germany,2,Lost/Hibernating
10068,696,3,102.4,Spain,2,Lost/Hibernating
10069,256,6,118.85,United Kingdom,0,At-Risk Spenders
10070,550,4,238.37,Germany,0,At-Risk Spenders
10071,279,8,244.39,United Kingdom,0,At-Risk Spenders
10073,109,55,2683.32,Spain,3,Champions
10074,23,11,227.43,Spain,0,At-Risk Spenders
10075,391,6,258.16,United Kingdom,0,At-Risk Spenders
10076,309,15,705.47,Spain,3,Champions
10077,80,2,70.34,EIRE,2,Lost/Hibernating
10078,138,13,719.7,France,3,Champions
10079,123,42,3549.75,EIRE,3,Champions
10080,3,11,426.56,United Kingdom,1,Loyal Spenders
10081,555,1,42.66,United Kingdom,2,Lost/Hibernating
10082,20,14,1621.3600000000001,United Kingdom,1,Loyal Spenders
10083,6,27,521.77,EIRE,1,Loyal Spenders
10084,11,6,152.96,Germany,0,At-Risk Spenders
10085,114,27,953.73,Spain,3,Champions
10086,27,25,750.9,France,1,Loyal Spenders
10087,290,2,44.59,United Kingdom,2,Lost/Hibernating
10088,122,67,2263.99,United Kingdom,3,Champions
10089,282,4,65.46,United Kingdom,2,Lost/Hibernating
10090,188,6,192.14,Spain,0,At-Risk Spenders
10091,18,24,2851.95,United Kingdom,1,Loyal Spenders
10092,351,3,65.03999999999999,Spain,2,Lost/Hibernating
10093,664,1,41.58,United Kingdom,2,Lost/Hibernating
10094,49,21,790.71,Germany,3,Champions
10095,540,1,74.04,United Kingdom,2,Lost/Hibernating
10096,313,2,60.53,France,2,Lost/Hibernating
10097,42,5,275.6,United Kingdom,0,At-Risk Spenders
10098,588,1,33.04,Spain,2,Lost/Hibernating
10099,491,6,295.47,Spain,0,At-Risk Spenders
10100,169,4,409.73,Germany,0,At-Risk Spenders
10101,483,2,122.99,Spain,2,Lost/Hibernating
10102,329,5,194.85,France,0,At-Risk Spenders
10103,205,33,4193.23,United Kingdom,3,Champions
10104,13,38,2412.95,France,1,Loyal Spenders
10105,368,9,181.06,France,0,At-Risk Spenders
10106,17,25,1537.55,Netherlands,1,Loyal Spenders
10107,34,6,252.81,United Kingdom,0,At-Risk Spenders
10108,177,16,2729.52,Germany,3,Champions
10109,1,4,618.91,Spain,1,Loyal Spenders
10110,431,4,200.21,Netherlands,0,At-Risk Spenders
10111,494,2,225.49,Spain,2,Lost/Hibernating
10112,44,4,116.97,United Kingdom,0,At-Risk Spenders
10113,29,14,1646.72,United Kingdom,1,Loyal Spenders
10114,306,15,1503.86,United Kingdom,3,Champions
10115,3,28,1072.24,EIRE,1,Loyal Spenders
10116,167,7,445.17,United Kingdom,0,At-Risk Spenders
10117,50,23,2209.8,France,3,Champions
10118,4,8,314.51,United Kingdom,1,Loyal Spenders
10119,186,13,181.63,United Kingdom,0,At-Risk Spenders
10120,298,38,1523.06,Netherlands,3,Champions
10121,3,44,1483.29,United Kingdom,1,Loyal Spenders
10122,93,19,2646.7,United Kingdom,3,Champions
10123,2,36,7087.95,United Kingdom,1,Loyal Spenders
10124,148,2,133.94,United Kingdom,2,Lost/Hibernating
10125,219,21,3849.26,United Kingdom,3,Champions
10126,68,6,121.74,United Kingdom,0,At-Risk Spenders
10127,204,7,113.13,United Kingdom,0,At-Risk Spenders
10128,510,3,240.69,Netherlands,0,At-Risk Spenders
10129,559,3,192.8,United Kingdom,0,At-Risk Spenders
10130,35,3,177.13,EIRE,0,At-Risk Spenders
10131,493,4,421.95,United Kingdom,0,At-Risk Spenders
10132,391,6,336.46,United Kingdom,0,At-Risk Spenders
10133,347,34,3067.85,United Kingdom,3,Champions
10134,473,2,69.33,United Kingdom,2,Lost/Hibernating
10135,44,8,410.38,EIRE,0,At-Risk Spenders
10136,125,17,3614.08,United Kingdom,3,Champions
10137,24,12,1410.08,Spain,1,Loyal Spenders
10139,263,2,94.29,United Kingdom,2,Lost/Hibernating
10140,38,20,765.0,United Kingdom,3,Champions
10141,222,9,325.13,United Kingdom,0,At-Risk Spenders
10142,44,6,243.76,EIRE,0,At-Risk Spenders
10143,7,24,2282.9900000000002,Spain,1,Loyal Spenders
10144,473,8,479.21,Germany,0,At-Risk Spenders
10145,514,1,45.22,Netherlands,2,Lost/Hibernating
10146,85,7,545.47,United Kingdom,0,At-Risk Spenders
10147,82,74,2077.7,Spain,3,Champions
10148,382,20,1190.9,EIRE,3,Champions
10149,92,2,71.65,Netherlands,2,Lost/Hibernating
10150,19,42,3202.97,United Kingdom,1,Loyal Spenders
10152,477,8,496.79,Germany,0,At-Risk Spenders
10153,237,3,100.67,Spain,2,Lost/Hibernating
10155,166,1,56.12,Netherlands,2,Lost/Hibernating
10156,497,4,298.74,Germany,0,At-Risk Spenders
10157,78,12,356.46,Netherlands,0,At-Risk Spenders
10158,182,2,74.84,United Kingdom,2,Lost/Hibernating
10159,306,5,158.12,United Kingdom,0,At-Risk Spenders
10160,178,6,309.59,United Kingdom,0,At-Risk Spenders
10161,29,6,206.08,Spain,0,At-Risk Spenders
10162,272,15,469.25,Spain,3,Champions
10163,24,27,781.92,Spain,1,Loyal Spenders
10164,131,3,103.80000000000001,Germany,2,Lost/Hibernating
10166,3,62,1228.73,Netherlands,1,Loyal Spenders
10167,1,7,658.11,EIRE,1,Loyal Spenders
10168,86,23,640.81,Netherlands,3,Champions
10169,5,8,202.91,United Kingdom,1,Loyal Spenders
10170,150,1,79.07,Netherlands,2,Lost/Hibernating
10171,11,5,580.52,United Kingdom,1,Loyal Spenders
10172,21,2,77.75,United Kingdom,2,Lost/Hibernating
10173,509,5,164.98,Germany,0,At-Risk Spenders
10175,346,5,278.93,United Kingdom,0,At-Risk Spenders
10176,131,1,33.07,United Kingdom,2,Lost/Hibernating
10177,71,33,836.67,United Kingdom,3,Champions
10178,24,13,558.85,United Kingdom,1,Loyal Spenders
10179,134,3,221.15,Spain,0,At-Risk Spenders
10180,590,3,92.2,EIRE,2,Lost/Hibernating
10181,99,6,85.53,Spain,0,At-Risk Spenders
10182,18,6,162.72,EIRE,0,At-Risk Spenders
10183,8,4,277.75,Germany,1,Loyal Spenders
10184,84,22,659.74,United Kingdom,3,Champions
10185,63,12,416.61,Spain,0,At-Risk Spenders
10186,130,15,690.73,United Kingdom,3,Champions
10187,30,1,17.28,United Kingdom,2,Lost/Hibernating
10188,5,7,569.47,United Kingdom,1,Loyal Spenders
10189,7,54,996.7,Germany,1,Loyal Spenders
10190,66,13,838.62,Spain,3,Champions
10191,59,13,973.96,EIRE,3,Champions
10192,122,1,221.19,EIRE,2,Lost/Hibernating
10193,28,6,136.55,United Kingdom,0,At-Risk Spenders
10194,57,9,731.59,France,0,At-Risk Spenders
10195,230,3,103.1,Netherlands,2,Lost/Hibernating
10196,98,6,304.35,France,0,At-Risk Spenders
10197,2,3,298.58,United Kingdom,1,Loyal Spenders
10198,242,7,162.85,France,0,At-Risk Spenders
10199,201,7,217.74,United Kingdom,0,At-Risk Spenders
10200,566,3,158.46,United Kingdom,2,Lost/Hibernating
10201,4,49,2903.93,EIRE,1,Loyal Spenders
10202,15,12,466.71999999999997,Netherlands,1,Loyal Spenders
10203,49,2,111.49,France,2,Lost/Hibernating
10204,3,4,151.53,France,1,Loyal Spenders
10206,50,27,861.0,France,3,Champions
10207,10,27,818.28,Germany,1,Loyal Spenders
10208,239,7,145.29,Spain,0,At-Risk Spenders
10209,255,8,312.33000000000004,France,0,At-Risk Spenders
10210,13,20,448.3,Germany,1,Loyal Spenders
10211,224,8,348.86,Spain,0,At-Risk Spenders
10212,244,5,612.01,Netherlands,0,At-Risk Spenders
10214,599,4,619.71,France,0,At-Risk Spenders
10215,267,1,52.559999999999995,United Kingdom,2,Lost/Hibernating
10216,1,24,4277.95,EIRE,1,Loyal Spenders
10217,66,3,158.53,EIRE,0,At-Risk Spenders
10218,148,9,315.59,France,0,At-Risk Spenders
10219,81,13,855.34,United Kingdom,3,Champions
10220,381,6,203.47,United Kingdom,0,At-Risk Spenders
10222,55,15,562.58,Spain,3,Champions
10223,427,7,181.17000000000002,Netherlands,0,At-Risk Spenders
10224,125,7,248.09,Spain,0,At-Risk Spenders
10225,151,17,348.2,Germany,0,At-Risk Spenders
10226,12,38,1727.1200000000001,United Kingdom,1,Loyal Spenders
10227,256,14,359.49,Netherlands,0,At-Risk Spenders
10228,3,5,398.64,United Kingdom,1,Loyal Spenders
10229,341,3,212.85,Germany,0,At-Risk Spenders
10230,365,6,191.6,United Kingdom,0,At-Risk Spenders
10231,106,16,358.72,United Kingdom,0,At-Risk Spenders
10232,11,47,3405.7200000000003,Netherlands,1,Loyal Spenders
10233,3,96,2690.6,United Kingdom,1,Loyal Spenders
10234,575,1,147.67000000000002,EIRE,2,Lost/Hibernating
10235,130,8,601.53,United Kingdom,0,At-Risk Spenders
10236,65,13,560.81,United Kingdom,3,Champions
10237,362,14,468.54,France,0,At-Risk Spenders
10238,6,12,531.51,EIRE,1,Loyal Spenders
10239,317,4,231.65,United Kingdom,0,At-Risk Spenders
10240,320,2,439.03,Spain,0,At-Risk Spenders
10241,165,2,128.57,France,2,Lost/Hibernating
10242,571,4,164.2,United Kingdom,0,At-Risk Spenders
10243,283,7,283.59,Germany,0,At-Risk Spenders
10244,63,39,2346.44,Spain,3,Champions
10245,151,20,1886.46,United Kingdom,3,Champions
10246,13,51,2068.71,EIRE,1,Loyal Spenders
10247,228,1,28.660000000000004,United Kingdom,2,Lost/Hibernating
10248,226,5,284.26,Netherlands,0,At-Risk Spenders
10249,18,18,560.84,United Kingdom,1,Loyal Spenders
10251,324,18,497.25,Germany,3,Champions
10252,36,10,299.72,France,0,At-Risk Spenders
10254,10,12,259.93,United Kingdom,1,Loyal Spenders
10255,3,30,1000.08,United Kingdom,1,Loyal Spenders
10256,37,2,139.1,Netherlands,2,Lost/Hibernating
10257,54,5,150.07,Germany,0,At-Risk Spenders
10258,349,15,270.07,United Kingdom,0,At-Risk Spenders
10259,16,11,699.65,Netherlands,1,Loyal Spenders
10260,38,14,482.75,France,1,Loyal Spenders
10261,14,16,633.03,France,1,Loyal Spenders
10264,528,1,41.34,United Kingdom,2,Lost/Hibernating
10265,94,1,74.7,Netherlands,2,Lost/Hibernating
10266,327,6,247.02,Germany,0,At-Risk Spenders
10267,211,8,580.21,Spain,0,At-Risk Spenders
10268,16,48,5949.8,Spain,1,Loyal Spenders
10269,201,4,367.23,Netherlands,0,At-Risk Spenders
10270,410,21,1174.04,United Kingdom,3,Champions
10272,372,4,168.71,France,0,At-Risk Spenders
10273,530,3,51.79,Germany,2,Lost/Hibernating
10274,391,55,1956.71,EIRE,3,Champions
10275,202,1,19.580000000000002,EIRE,2,Lost/Hibernating
10277,118,51,2629.04,EIRE,3,Champions
10278,246,5,309.1,United Kingdom,0,At-Risk Spenders
10279,155,15,585.71,United Kingdom,3,Champions
10280,380,8,915.29,France,3,Champions
10281,475,2,56.04,Germany,2,Lost/Hibernating
10282,537,2,33.77,United Kingdom,2,Lost/Hibernating
10283,118,2,50.589999999999996,France,2,Lost/Hibernating
10284,70,15,754.36,Spain,3,Champions
10285,41,29,2951.48,Spain,3,Champions
10286,194,57,1699.5,EIRE,3,Champions
10287,3,28,685.65,France,1,Loyal Spenders
10288,29,11,1577.64,Germany,1,Loyal Spenders
10289,579,4,141.81,United Kingdom,0,At-Risk Spenders
10290,41,16,1055.42,Germany,3,Champions
10291,1,40,5127.68,EIRE,1,Loyal Spenders
10293,129,5,160.69,France,0,At-Risk Spenders
10294,33,4,113.24,France,0,At-Risk Spenders
10295,290,10,475.93,France,0,At-Risk Spenders
10296,389,23,847.08,EIRE,3,Champions
10297,502,10,361.22,EIRE,0,At-Risk Spenders
10298,88,2,211.34,Netherlands,2,Lost/Hibernating
10299,638,3,272.72,EIRE,0,At-Risk Spenders
10300,48,22,1204.01,EIRE,3,Champions
10301,191,13,952.33,United Kingdom,3,Champions
10302,307,1,44.239999999999995,United Kingdom,2,Lost/Hibernating
10303,207,2,389.16,EIRE,0,At-Risk Spenders
10304,3,22,1018.49,United Kingdom,1,Loyal Spenders
10305,324,2,78.1,France,2,Lost/Hibernating
10307,209,13,604.44,United Kingdom,3,Champions
10308,81,6,348.52,France,0,At-Risk Spenders
10309,160,1,28.27,Netherlands,2,Lost/Hibernating
10310,369,31,839.15,United Kingdom,3,Champions
10311,182,2,34.93,France,2,Lost/Hibernating
10312,362,2,117.8,France,2,Lost/Hibernating
10313,164,13,843.4599999999999,Spain,3,Champions
10314,8,4,169.6,United Kingdom,0,At-Risk Spenders
10315,18,10,257.84000000000003,United Kingdom,1,Loyal Spenders
10316,149,1,52.94,EIRE,2,Lost/Hibernating
10318,67,16,2017.23,United Kingdom,3,Champions
10319,8,36,1292.79,France,1,Loyal Spenders
10320,69,3,491.71999999999997,EIRE,0,At-Risk Spenders
10321,11,55,3415.54,United Kingdom,1,Loyal Spenders
10322,552,3,156.73000000000002,United Kingdom,2,Lost/Hibernating
10323,270,5,192.89,Netherlands,0,At-Risk Spenders
10324,25,33,1264.81,EIRE,1,Loyal Spenders
10325,194,4,281.75,United Kingdom,0,At-Risk Spenders
10326,475,14,821.47,United Kingdom,3,Champions
10327,29,5,424.94,Germany,0,At-Risk Spenders
10328,54,4,228.55,France,0,At-Risk Spenders
10329,296,18,2381.29,Spain,3,Champions
10330,177,5,147.9,Spain,0,At-Risk Spenders
10332,116,12,605.91,United Kingdom,3,Champions
10333,316,2,43.96,Germany,2,Lost/Hibernating
10335,191,16,338.69,Netherlands,0,At-Risk Spenders
10336,178,6,389.72,EIRE,0,At-Risk Spenders
10337,112,11,236.63,Germany,0,At-Risk Spenders
10338,7,61,6886.12,United Kingdom,1,Loyal Spenders
10339,458,5,224.63,Germany,0,At-Risk Spenders
10340,81,1,56.06,EIRE,2,Lost/Hibernating
10341,9,5,144.38,Germany,0,At-Risk Spenders
10342,1,19,1056.4,France,1,Loyal Spenders
10343,27,10,197.87,EIRE,0,At-Risk Spenders
10344,360,1,37.07,Spain,2,Lost/Hibernating
10345,50,8,329.71999999999997,France,0,At-Risk Spenders
10346,34,8,733.55,Germany,1,Loyal Spenders
10347,35,16,776.2,Germany,1,Loyal Spenders
10348,63,4,313.07,Germany,0,At-Risk Spenders
10349,171,2,146.41000000000003,Netherlands,2,Lost/Hibernating
10350,51,2,77.09,EIRE,2,Lost/Hibernating
10352,274,3,62.25,Netherlands,2,Lost/Hibernating
10353,80,3,294.73,United Kingdom,0,At-Risk Spenders
10354,296,2,29.93,France,2,Lost/Hibernating
10355,37,1,41.449999999999996,Netherlands,2,Lost/Hibernating
10356,84,14,338.34,United Kingdom,0,At-Risk Spenders
10357,137,5,244.85,United Kingdom,0,At-Risk Spenders
10358,178,4,92.05,United Kingdom,2,Lost/Hibernating
10359,246,6,641.13,EIRE,0,At-Risk Spenders
10360,169,4,186.57,United Kingdom,0,At-Risk Spenders
10362,5,54,1925.44,France,1,Loyal Spenders
10363,56,17,1901.98,United Kingdom,3,Champions
10364,320,33,1812.04,EIRE,3,Champions
10365,371,9,286.33,United Kingdom,0,At-Risk Spenders
10366,19,79,5746.56,Netherlands,1,Loyal Spenders
10367,252,45,2158.36,EIRE,3,Champions
10368,1,18,446.67,United Kingdom,1,Loyal Spenders
10369,187,14,655.55,Germany,3,Champions
10370,9,12,894.42,Spain,1,Loyal Spenders
10371,78,9,468.09,United Kingdom,0,At-Risk Spenders
10372,1,14,366.90999999999997,Germany,1,Loyal Spenders
10373,249,22,496.35,Spain,3,Champions
10374,28,15,1771.67,Netherlands,1,Loyal Spenders
10375,117,2,80.51,Germany,2,Lost/Hibernating
10376,7,2,69.69,EIRE,2,Lost/Hibernating
10377,17,22,1390.67,France,1,Loyal Spenders
10378,148,1,40.93,Germany,2,Lost/Hibernating
10379,278,9,330.09,France,0,At-Risk Spenders
10380,49,14,325.2,United Kingdom,0,At-Risk Spenders
10381,381,2,63.24,Netherlands,2,Lost/Hibernating
10382,502,31,3781.7400000000002,United Kingdom,3,Champions
10383,72,5,184.74,United Kingdom,0,At-Risk Spenders
10384,58,1,62.62,United Kingdom,2,Lost/Hibernating
10386,205,20,861.55,France,3,Champions
10387,474,14,679.44,Germany,3,Champions
10388,18,9,356.26,Netherlands,1,Loyal Spenders
10389,58,5,260.79,United Kingdom,0,At-Risk Spenders
10390,13,24,930.95,Germany,1,Loyal Spenders
10391,11,21,1867.53,France,1,Loyal Spenders
10392,130,34,1002.5,United Kingdom,3,Champions
10393,63,12,658.66,United Kingdom,3,Champions
10394,2,121,3125.35,EIRE,1,Loyal Spenders
10395,376,7,458.5,United Kingdom,0,At-Risk Spenders
10396,324,27,923.05,Spain,3,Champions
10397,18,46,2251.81,France,1,Loyal Spenders
10398,254,17,588.03,Spain,3,Champions
10399,68,11,264.26,Netherlands,0,At-Risk Spenders
10400,430,1,78.34,Spain,2,Lost/Hibernating
10401,175,21,685.59,United Kingdom,3,Champions
10402,140,11,255.04,United Kingdom,0,At-Risk Spenders
10403,222,4,149.93,United Kingdom,0,At-Risk Spenders
10404,550,1,33.01,France,2,Lost/Hibernating
10406,612,5,319.45,France,0,At-Risk Spenders
10407,177,1,67.56,Spain,2,Lost/Hibernating
10408,1,8,400.75,United Kingdom,1,Loyal Spenders
10409,139,83,1620.18,Spain,3,Champions
10410,133,2,90.76,United Kingdom,2,Lost/Hibernating
10411,397,15,764.39,United Kingdom,3,Champions
10412,86,29,2013.39,Spain,3,Champions
10413,127,2,30.569999999999997,EIRE,2,Lost/Hibernating
10414,13,4,130.38,Spain,0,At-Risk Spenders
10417,31,5,220.98,Germany,0,At-Risk Spenders
10418,66,8,1249.25,Netherlands,3,Champions
10419,418,4,259.19,United Kingdom,0,At-Risk Spenders
10421,12,15,765.05,United Kingdom,1,Loyal Spenders
10422,561,4,224.34,France,0,At-Risk Spenders
10423,22,26,1321.46,United Kingdom,1,Loyal Spenders
10424,29,11,293.46,France,0,At-Risk Spenders
10425,469,11,622.25,United Kingdom,3,Champions
10426,256,9,325.96,United Kingdom,0,At-Risk Spenders
10427,152,40,4340.97,EIRE,3,Champions
10428,156,91,3354.18,France,3,Champions
10429,196,3,233.19,United Kingdom,0,At-Risk Spenders
10430,174,2,65.81,United Kingdom,2,Lost/Hibernating
10431,3,24,886.17,France,1,Loyal Spenders
10432,40,1,45.46,Spain,2,Lost/Hibernating
10433,126,1,62.9,United Kingdom,2,Lost/Hibernating
10434,38,7,274.48,United Kingdom,0,At-Risk Spenders
10435,123,11,348.85,Netherlands,0,At-Risk Spenders
10436,48,14,501.01,United Kingdom,0,At-Risk Spenders
10437,445,2,180.46,France,2,Lost/Hibernating
10438,20,5,94.45,EIRE,0,At-Risk Spenders
10439,49,12,366.19,United Kingdom,0,At-Risk Spenders
10440,132,7,410.04,United Kingdom,0,At-Risk Spenders
10441,4,12,626.73,Germany,1,Loyal Spenders
10442,8,6,188.79,United Kingdom,1,Loyal Spenders
10443,415,20,713.95,United Kingdom,3,Champions
10444,467,3,277.95,Germany,0,At-Risk Spenders
10445,12,21,959.38,United Kingdom,1,Loyal Spenders
10446,9,38,1664.11,France,1,Loyal Spenders
10447,442,2,118.11,Germany,2,Lost/Hibernating
10448,76,27,1581.81,Spain,3,Champions
10449,128,53,2387.79,EIRE,3,Champions
10450,1,17,537.72,United Kingdom,1,Loyal Spenders
10451,55,3,71.4,EIRE,2,Lost/Hibernating
10452,227,10,366.13,United Kingdom,0,At-Risk Spenders
10453,22,18,744.9,United Kingdom,1,Loyal Spenders
10454,3,36,1952.68,Spain,1,Loyal Spenders
10455,11,22,867.02,EIRE,1,Loyal Spenders
10456,47,2,149.43,Spain,2,Lost/Hibernating
10457,409,2,87.38,United Kingdom,2,Lost/Hibernating
10458,36,14,373.02,United Kingdom,0,At-Risk Spenders
10459,72,8,415.67,United Kingdom,0,At-Risk Spenders
10460,233,16,569.28,United Kingdom,3,Champions
10461,468,1,24.380000000000003,United Kingdom,2,Lost/Hibernating
10462,73,2,273.13,United Kingdom,0,At-Risk Spenders
10463,57,11,1101.87,United Kingdom,3,Champions
10465,107,9,255.85,France,0,At-Risk Spenders
10466,141,6,280.11,Spain,0,At-Risk Spenders
10467,371,12,763.86,EIRE,3,Champions
10468,220,1,322.28,Spain,2,Lost/Hibernating
10469,604,2,53.87,United Kingdom,2,Lost/Hibernating
10470,552,2,180.04,Germany,2,Lost/Hibernating
10471,164,1,46.0,United Kingdom,2,Lost/Hibernating
10472,106,6,630.33,United Kingdom,0,At-Risk Spenders
10473,321,14,836.36,France,3,Champions
10474,179,6,121.2,EIRE,0,At-Risk Spenders
10475,200,2,79.7,Netherlands,2,Lost/Hibernating
10476,268,25,853.92,Germany,3,Champions
10477,27,17,841.9300000000001,United Kingdom,1,Loyal Spenders
10478,8,9,828.99,EIRE,1,Loyal Spenders
10479,61,3,88.83,Germany,2,Lost/Hibernating
10480,281,1,36.44,Spain,2,Lost/Hibernating
10481,10,20,858.4,United Kingdom,1,Loyal Spenders
10482,44,2,67.54,Spain,2,Lost/Hibernating
10483,20,7,218.82,EIRE,0,At-Risk Spenders
10484,223,9,551.3000000000001,United Kingdom,0,At-Risk Spenders
10485,55,2,77.27,EIRE,2,Lost/Hibernating
10486,1,49,5176.38,Germany,1,Loyal Spenders
10487,9,30,1300.27,United Kingdom,1,Loyal Spenders
10488,415,8,629.0699999999999,Netherlands,0,At-Risk Spenders
10489,2,55,1508.33,Netherlands,1,Loyal Spenders
10490,241,4,99.28999999999999,France,2,Lost/Hibernating
10491,59,1,60.89999999999999,Netherlands,2,Lost/Hibernating
10492,155,7,453.23,Spain,0,At-Risk Spenders
10493,10,10,726.31,Netherlands,1,Loyal Spenders
10494,152,11,601.88,United Kingdom,0,At-Risk Spenders
10495,10,28,3640.4900000000002,Netherlands,1,Loyal Spenders
10496,3,14,277.97,United Kingdom,1,Loyal Spenders
10498,104,1,75.33,United Kingdom,2,Lost/Hibernating
10499,14,17,1358.6200000000001,United Kingdom,1,Loyal Spenders
10500,105,2,113.42,Netherlands,2,Lost/Hibernating
10501,82,68,7355.46,Netherlands,3,Champions
10502,446,3,112.83,EIRE,2,Lost/Hibernating
10503,186,8,404.53000000000003,United Kingdom,0,At-Risk Spenders
10504,58,23,701.98,United Kingdom,3,Champions
10505,7,9,183.87,United Kingdom,1,Loyal Spenders
10506,10,5,261.99,United Kingdom,1,Loyal Spenders
10507,200,6,160.84,United Kingdom,0,At-Risk Spenders
10510,122,1,23.9,United Kingdom,2,Lost/Hibernating
10511,203,3,125.08,Netherlands,2,Lost/Hibernating
10512,5,1,139.52,France,2,Lost/Hibernating
10513,230,10,803.32,Germany,3,Champions
10514,297,1,76.69,United Kingdom,2,Lost/Hibernating
10515,45,30,984.15,Netherlands,3,Champions
10516,34,18,921.89,Germany,1,Loyal Spenders
10517,328,1,27.77,Netherlands,2,Lost/Hibernating
10518,25,16,299.35,EIRE,1,Loyal Spenders
10519,127,1,34.23,Germany,2,Lost/Hibernating
10520,218,9,244.63,United Kingdom,0,At-Risk Spenders
10521,36,41,1775.3,EIRE,3,Champions
10522,19,2,42.97,United Kingdom,2,Lost/Hibernating
10523,7,39,2162.18,Spain,1,Loyal Spenders
10524,439,1,160.2,United Kingdom,2,Lost/Hibernating
10525,198,35,6303.48,United Kingdom,3,Champions
10526,28,8,253.02,Netherlands,0,At-Risk Spenders
10527,40,3,324.06,EIRE,0,At-Risk Spenders
10528,573,2,60.99,United Kingdom,2,Lost/Hibernating
10529,4,32,838.28,United Kingdom,1,Loyal Spenders
10530,15,7,204.24,United Kingdom,0,At-Risk Spenders
10531,260,4,103.31,France,2,Lost/Hibernating
10532,37,7,211.88,United Kingdom,0,At-Risk Spenders
10533,7,2,95.68,Spain,2,Lost/Hibernating
10534,51,5,728.14,United Kingdom,0,At-Risk Spenders
10535,694,3,275.67,Spain,0,At-Risk Spenders
10536,1,3,272.7,France,1,Loyal Spenders
10537,276,3,110.2,United Kingdom,2,Lost/Hibernating
10538,507,8,381.77,Spain,0,At-Risk Spenders
10539,167,6,460.59,France,0,At-Risk Spenders
10540,62,13,790.95,Germany,3,Champions
10541,6,11,766.01,United Kingdom,1,Loyal Spenders
10542,21,12,905.28,United Kingdom,1,Loyal Spenders
10543,13,49,2513.2400000000002,Germany,1,Loyal Spenders
