InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
546819,20725,LUNCH BAG RED RETROSPOT,3,2024-05-13 04:36,1.62,10837,EIRE
546819,20728,LUNCH BAG CARS BLUE,4,2024-05-13 04:36,1.49,10837,EIRE
546819,22469,HEART OF WICKER SMALL,4,2024-05-13 04:36,1.57,10837,EIRE
538352,20725,LUNCH BAG RED RETROSPOT,2,2024-05-13 07:15,1.62,10162,Spain
538352,22554,PLASTERS IN TIN WOODLAND ANIMALS,2,2024-05-13 07:15,1.72,10162,Spain
538352,22457,NATURAL SLATE HEART MEMO BOARD,1,2024-05-13 07:15,3.29,10162,Spain
538352,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,2024-05-13 07:15,2.82,10162,Spain
538352,22197,POPCORN HOLDER,4,2024-05-13 07:15,0.72,10162,Spain
538352,22086,PAPER CHAIN KIT 50'S CHRISTMAS,1,2024-05-13 07:15,2.72,10162,Spain
538352,22720,SET OF 3 CAKE TINS PANTRY DESIGN,1,2024-05-13 07:15,5.25,10162,Spain
546136,47566,PARTY BUNTING,7,2024-05-13 13:18,5.15,10784,Netherlands
546136,21731,RED TOADSTOOL LED NIGHT LIGHT,26,2024-05-13 13:18,1.5,10784,Netherlands
551121,21212,PACK OF 72 RETROSPOT PAPER  CASES,18,2024-05-13 18:50,0.54,11167,EIRE
551121,20727,LUNCH BAG BLACK SKULL,6,2024-05-13 18:50,1.51,11167,EIRE
551121,22423,REGENCY CAKESTAND 3 TIER,1,2024-05-13 18:50,11.6,11167,EIRE
551121,20728,LUNCH BAG CARS BLUE,6,2024-05-13 18:50,1.55,11167,EIRE
546591,20727,LUNCH BAG BLACK SKULL,3,2024-05-14 06:52,1.54,10826,France
546591,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,2024-05-14 06:52,1.92,10826,France
546591,22960,JAM MAKING SET WITH JARS,1,2024-05-14 06:52,4.24,10826,France
546591,21931,JUMBO STORAGE BAG SUKI,3,2024-05-14 06:52,1.96,10826,France
546591,22469,HEART OF WICKER SMALL,3,2024-05-14 06:52,1.65,10826,France
546591,22423,REGENCY CAKESTAND 3 TIER,1,2024-05-14 06:52,12.06,10826,France
543107,22556,PLASTERS IN TIN CIRCUS PARADE,14,2024-05-16 00:08,1.8,10535,Spain
543107,85123A,WHITE HANGING HEART T-LIGHT HOLDER,17,2024-05-16 00:08,1.48,10535,Spain
543107,22960,JAM MAKING SET WITH JARS,6,2024-05-16 00:08,4.05,10535,Spain
543107,47566,PARTY BUNTING,5,2024-05-16 00:08,5.41,10535,Spain
539697,22197,POPCORN HOLDER,11,2024-05-16 21:39,0.76,10274,EIRE
539697,22556,PLASTERS IN TIN CIRCUS PARADE,5,2024-05-16 21:39,1.71,10274,EIRE
539697,21931,JUMBO STORAGE BAG SUKI,4,2024-05-16 21:39,2.39,10274,EIRE
539697,20728,LUNCH BAG CARS BLUE,6,2024-05-16 21:39,1.53,10274,EIRE
539697,84879,ASSORTED COLOUR BIRD ORNAMENT,5,2024-05-16 21:39,1.6,10274,EIRE
549317,21212,PACK OF 72 RETROSPOT PAPER  CASES,86,2024-05-17 02:48,0.54,11021,United Kingdom
551122,22383,LUNCH BAG SUKI DESIGN,15,2024-05-17 07:00,1.49,11167,EIRE
551122,21931,JUMBO STORAGE BAG SUKI,10,2024-05-17 07:00,2.16,11167,EIRE
550392,21731,RED TOADSTOOL LED NIGHT LIGHT,3,2024-05-18 01:17,1.39,11112,United Kingdom
550392,20727,LUNCH BAG BLACK SKULL,2,2024-05-18 01:17,1.62,11112,United Kingdom
550392,84879,ASSORTED COLOUR BIRD ORNAMENT,2,2024-05-18 01:17,1.85,11112,United Kingdom
550392,22556,PLASTERS IN TIN CIRCUS PARADE,2,2024-05-18 01:17,1.93,11112,United Kingdom
540211,22197,POPCORN HOLDER,76,2024-05-18 03:58,0.76,10313,Spain
548574,21212,PACK OF 72 RETROSPOT PAPER  CASES,3,2024-05-19 14:33,0.48,10959,United Kingdom
548574,21931,JUMBO STORAGE BAG SUKI,1,2024-05-19 14:33,2.36,10959,United Kingdom
548574,22197,POPCORN HOLDER,2,2024-05-19 14:33,0.79,10959,United Kingdom
548574,47566,PARTY BUNTING,1,2024-05-19 14:33,5.57,10959,United Kingdom
548574,22383,LUNCH BAG SUKI DESIGN,1,2024-05-19 14:33,1.47,10959,United Kingdom
548574,22423,REGENCY CAKESTAND 3 TIER,1,2024-05-19 14:33,13.41,10959,United Kingdom
545623,21731,RED TOADSTOOL LED NIGHT LIGHT,34,2024-05-19 15:54,1.31,10747,France
545623,20725,LUNCH BAG RED RETROSPOT,30,2024-05-19 15:54,1.52,10747,France
549284,84879,ASSORTED COLOUR BIRD ORNAMENT,4,2024-05-19 18:59,1.85,11019,United Kingdom
549284,22554,PLASTERS IN TIN WOODLAND ANIMALS,4,2024-05-19 18:59,1.75,11019,United Kingdom
549284,22457,NATURAL SLATE HEART MEMO BOARD,2,2024-05-19 18:59,3.09,11019,United Kingdom
549284,22423,REGENCY CAKESTAND 3 TIER,1,2024-05-19 18:59,14.16,11019,United Kingdom
549284,20725,LUNCH BAG RED RETROSPOT,4,2024-05-19 18:59,1.57,11019,United Kingdom
549284,22197,POPCORN HOLDER,9,2024-05-19 18:59,0.81,11019,United Kingdom
549107,20728,LUNCH BAG CARS BLUE,8,2024-05-20 20:04,1.47,11005,United Kingdom
549107,22720,SET OF 3 CAKE TINS PANTRY DESIGN,2,2024-05-20 20:04,5.74,11005,United Kingdom
549107,22457,NATURAL SLATE HEART MEMO BOARD,3,2024-05-20 20:04,3.49,11005,United Kingdom
549107,20725,LUNCH BAG RED RETROSPOT,8,2024-05-20 20:04,1.47,11005,United Kingdom
541064,20727,LUNCH BAG BLACK SKULL,40,2024-05-21 04:29,1.49,10382,United Kingdom
541064,20725,LUNCH BAG RED RETROSPOT,40,2024-05-21 04:29,1.51,10382,United Kingdom
549285,47566,PARTY BUNTING,1,2024-05-22 07:18,4.41,11019,United Kingdom
549285,22720,SET OF 3 CAKE TINS PANTRY DESIGN,1,2024-05-22 07:18,5.52,11019,United Kingdom
549285,22457,NATURAL SLATE HEART MEMO BOARD,2,2024-05-22 07:18,3.7,11019,United Kingdom
549285,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,2024-05-22 07:18,2.29,11019,United Kingdom
549285,22469,HEART OF WICKER SMALL,4,2024-05-22 07:18,1.61,11019,United Kingdom
549285,20727,LUNCH BAG BLACK SKULL,4,2024-05-22 07:18,1.65,11019,United Kingdom
549285,22086,PAPER CHAIN KIT 50'S CHRISTMAS,2,2024-05-22 07:18,2.6,11019,United Kingdom
539698,20728,LUNCH BAG CARS BLUE,2,2024-05-22 12:43,1.59,10274,EIRE
539698,22469,HEART OF WICKER SMALL,2,2024-05-22 12:43,1.54,10274,EIRE
539698,22960,JAM MAKING SET WITH JARS,1,2024-05-22 12:43,4.1,10274,EIRE
539698,22423,REGENCY CAKESTAND 3 TIER,1,2024-05-22 12:43,11.38,10274,EIRE
539698,21212,PACK OF 72 RETROSPOT PAPER  CASES,7,2024-05-22 12:43,0.42,10274,EIRE
551123,20728,LUNCH BAG CARS BLUE,4,2024-05-23 12:05,1.51,11167,EIRE
551123,22383,LUNCH BAG SUKI DESIGN,4,2024-05-23 12:05,1.6,11167,EIRE
551123,20725,LUNCH BAG RED RETROSPOT,4,2024-05-23 12:05,1.63,11167,EIRE
551123,21731,RED TOADSTOOL LED NIGHT LIGHT,4,2024-05-23 12:05,1.64,11167,EIRE
551123,22556,PLASTERS IN TIN CIRCUS PARADE,3,2024-05-23 12:05,2.08,11167,EIRE
542874,22383,LUNCH BAG SUKI DESIGN,4,2024-05-23 17:53,1.5,10516,Germany
542874,22556,PLASTERS IN TIN CIRCUS PARADE,3,2024-05-23 17:53,2.03,10516,Germany
542874,21731,RED TOADSTOOL LED NIGHT LIGHT,5,2024-05-23 17:53,1.29,10516,Germany
542874,21212,PACK OF 72 RETROSPOT PAPER  CASES,11,2024-05-23 17:53,0.51,10516,Germany
542874,22960,JAM MAKING SET WITH JARS,2,2024-05-23 17:53,3.77,10516,Germany
546592,84879,ASSORTED COLOUR BIRD ORNAMENT,3,2024-05-24 00:32,1.79,10826,France
546592,22457,NATURAL SLATE HEART MEMO BOARD,2,2024-05-24 00:32,3.01,10826,France
546592,20728,LUNCH BAG CARS BLUE,4,2024-05-24 00:32,1.56,10826,France
546592,20727,LUNCH BAG BLACK SKULL,4,2024-05-24 00:32,1.6,10826,France
546592,20725,LUNCH BAG RED RETROSPOT,4,2024-05-24 00:32,1.65,10826,France
543603,20725,LUNCH BAG RED RETROSPOT,8,2024-05-24 21:09,1.56,10570,United Kingdom
543603,22554,PLASTERS IN TIN WOODLAND ANIMALS,6,2024-05-24 21:09,2.04,10570,United Kingdom
543603,22556,PLASTERS IN TIN CIRCUS PARADE,8,2024-05-24 21:09,1.7,10570,United Kingdom
543603,22469,HEART OF WICKER SMALL,8,2024-05-24 21:09,1.6,10570,United Kingdom
543604,21212,PACK OF 72 RETROSPOT PAPER  CASES,15,2024-05-25 06:33,0.46,10570,United Kingdom
543604,22197,POPCORN HOLDER,9,2024-05-25 06:33,0.75,10570,United Kingdom
543604,20725,LUNCH BAG RED RETROSPOT,4,2024-05-25 06:33,1.6,10570,United Kingdom
543604,22457,NATURAL SLATE HEART MEMO BOARD,2,2024-05-25 06:33,3.31,10570,United Kingdom
543604,21931,JUMBO STORAGE BAG SUKI,3,2024-05-25 06:33,2.24,10570,United Kingdom
543604,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,2024-05-25 06:33,2.49,10570,United Kingdom
543604,84879,ASSORTED COLOUR BIRD ORNAMENT,4,2024-05-25 06:33,1.64,10570,United Kingdom
543604,21731,RED TOADSTOOL LED NIGHT LIGHT,5,2024-05-25 06:33,1.37,10570,United Kingdom
544266,85123A,WHITE HANGING HEART T-LIGHT HOLDER,28,2024-05-25 09:33,2.26,10635,Germany
546593,22554,PLASTERS IN TIN WOODLAND ANIMALS,4,2024-05-27 06:58,1.96,10826,France
546593,20728,LUNCH BAG CARS BLUE,5,2024-05-27 06:58,1.52,10826,France
546593,22469,HEART OF WICKER SMALL,5,2024-05-27 06:58,1.46,10826,France
539699,22720,SET OF 3 CAKE TINS PANTRY DESIGN,1,2024-05-27 11:10,5.1,10274,EIRE
539699,22197,POPCORN HOLDER,7,2024-05-27 11:10,0.83,10274,EIRE
539699,22423,REGENCY CAKESTAND 3 TIER,1,2024-05-27 11:10,11.07,10274,EIRE
539699,22960,JAM MAKING SET WITH JARS,1,2024-05-27 11:10,4.06,10274,EIRE
539699,84879,ASSORTED COLOUR BIRD ORNAMENT,4,2024-05-27 11:10,1.56,10274,EIRE
539699,20728,LUNCH BAG CARS BLUE,3,2024-05-27 11:10,1.65,10274,EIRE
550724,21212,PACK OF 72 RETROSPOT PAPER  CASES,87,2024-05-27 12:13,0.42,11134,United Kingdom
550724,20728,LUNCH BAG CARS BLUE,24,2024-05-27 12:13,1.56,11134,United Kingdom
543108,22720,SET OF 3 CAKE TINS PANTRY DESIGN,8,2024-05-28 05:22,5.29,10535,Spain
543108,47566,PARTY BUNTING,9,2024-05-28 05:22,4.36,10535,Spain
547906,85123A,WHITE HANGING HEART T-LIGHT HOLDER,19,2024-05-28 05:45,2.62,10917,EIRE
546710,22556,PLASTERS IN TIN CIRCUS PARADE,6,2024-05-28 17:56,1.73,10832,EIRE
546710,85099B,JUMBO BAG RED RETROSPOT,6,2024-05-28 17:56,1.88,10832,EIRE
546710,22457,NATURAL SLATE HEART MEMO BOARD,3,2024-05-28 17:56,3.53,10832,EIRE
546710,21731,RED TOADSTOOL LED NIGHT LIGHT,7,2024-05-28 17:56,1.42,10832,EIRE
546710,20728,LUNCH BAG CARS BLUE,7,2024-05-28 17:56,1.52,10832,EIRE
546710,21931,JUMBO STORAGE BAG SUKI,5,2024-05-28 17:56,2.0,10832,EIRE
546710,47566,PARTY BUNTING,2,2024-05-28 17:56,4.73,10832,EIRE
539700,22457,NATURAL SLATE HEART MEMO BOARD,7,2024-05-28 19:04,3.26,10274,EIRE
547907,20727,LUNCH BAG BLACK SKULL,9,2024-05-29 01:58,1.49,10917,EIRE
547907,22720,SET OF 3 CAKE TINS PANTRY DESIGN,2,2024-05-29 01:58,5.78,10917,EIRE
547907,21212,PACK OF 72 RETROSPOT PAPER  CASES,26,2024-05-29 01:58,0.49,10917,EIRE
551196,84879,ASSORTED COLOUR BIRD ORNAMENT,3,2024-05-29 02:34,1.59,11173,United Kingdom
551196,22960,JAM MAKING SET WITH JARS,1,2024-05-29 02:34,3.9,11173,United Kingdom
551196,85099B,JUMBO BAG RED RETROSPOT,2,2024-05-29 02:34,1.9,11173,United Kingdom
551196,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,2024-05-29 02:34,2.91,11173,United Kingdom
551196,22457,NATURAL SLATE HEART MEMO BOARD,1,2024-05-29 02:34,3.61,11173,United Kingdom
551196,22086,PAPER CHAIN KIT 50'S CHRISTMAS,2,2024-05-29 02:34,2.88,11173,United Kingdom
551196,21731,RED TOADSTOOL LED NIGHT LIGHT,3,2024-05-29 02:34,1.34,11173,United Kingdom
551196,20725,LUNCH BAG RED RETROSPOT,3,2024-05-29 02:34,1.52,11173,United Kingdom
551124,22554,PLASTERS IN TIN WOODLAND ANIMALS,15,2024-05-29 11:52,2.0,11167,EIRE
546711,22423,REGENCY CAKESTAND 3 TIER,2,2024-05-29 12:35,12.79,10832,EIRE
546711,21212,PACK OF 72 RETROSPOT PAPER  CASES,44,2024-05-29 12:35,0.46,10832,EIRE
546711,22960,JAM MAKING SET WITH JARS,5,2024-05-29 12:35,4.19,10832,EIRE
545624,20727,LUNCH BAG BLACK SKULL,27,2024-05-29 16:17,1.45,10747,France
545624,85099B,JUMBO BAG RED RETROSPOT,23,2024-05-29 16:17,1.75,10747,France
539701,22383,LUNCH BAG SUKI DESIGN,4,2024-05-29 18:18,1.47,10274,EIRE
539701,22720,SET OF 3 CAKE TINS PANTRY DESIGN,1,2024-05-29 18:18,5.23,10274,EIRE
539701,22197,POPCORN HOLDER,7,2024-05-29 18:18,0.83,10274,EIRE
539701,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,2024-05-29 18:18,2.9,10274,EIRE
539701,20725,LUNCH BAG RED RETROSPOT,4,2024-05-29 18:18,1.48,10274,EIRE
539701,22960,JAM MAKING SET WITH JARS,1,2024-05-29 18:18,4.24,10274,EIRE
546712,85099B,JUMBO BAG RED RETROSPOT,35,2024-05-30 02:27,1.77,10832,EIRE
539010,22383,LUNCH BAG SUKI DESIGN,17,2024-05-31 03:55,1.64,10223,Netherlands
537146,21212,PACK OF 72 RETROSPOT PAPER  CASES,5,2024-05-31 04:36,0.52,10068,Spain
537146,22423,REGENCY CAKESTAND 3 TIER,1,2024-05-31 04:36,14.57,10068,Spain
537146,22469,HEART OF WICKER SMALL,2,2024-05-31 04:36,1.48,10068,Spain
537146,22197,POPCORN HOLDER,3,2024-05-31 04:36,0.84,10068,Spain
537146,22960,JAM MAKING SET WITH JARS,1,2024-05-31 04:36,3.93,10068,Spain
537146,22383,LUNCH BAG SUKI DESIGN,2,2024-05-31 04:36,1.48,10068,Spain
545763,84879,ASSORTED COLOUR BIRD ORNAMENT,2,2024-05-31 11:42,1.57,10758,Netherlands
545763,22197,POPCORN HOLDER,3,2024-05-31 11:42,0.79,10758,Netherlands
545763,22960,JAM MAKING SET WITH JARS,1,2024-05-31 11:42,4.06,10758,Netherlands
545763,20725,LUNCH BAG RED RETROSPOT,1,2024-05-31 11:42,1.58,10758,Netherlands
545763,22554,PLASTERS IN TIN WOODLAND ANIMALS,1,2024-05-31 11:42,1.91,10758,Netherlands
545763,22457,NATURAL SLATE HEART MEMO BOARD,1,2024-05-31 11:42,3.59,10758,Netherlands
545763,22720,SET OF 3 CAKE TINS PANTRY DESIGN,1,2024-05-31 11:42,5.34,10758,Netherlands
545764,22720,SET OF 3 CAKE TINS PANTRY DESIGN,1,2024-06-01 10:14,5.32,10758,Netherlands
545764,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,2024-06-01 10:14,2.11,10758,Netherlands
545764,22554,PLASTERS IN TIN WOODLAND ANIMALS,1,2024-06-01 10:14,1.8,10758,Netherlands
545764,21931,JUMBO STORAGE BAG SUKI,1,2024-06-01 10:14,2.28,10758,Netherlands
545764,22423,REGENCY CAKESTAND 3 TIER,1,2024-06-01 10:14,12.21,10758,Netherlands
550393,22423,REGENCY CAKESTAND 3 TIER,1,2024-06-02 00:00,13.91,11112,United Kingdom
540212,85123A,WHITE HANGING HEART T-LIGHT HOLDER,9,2024-06-02 00:33,2.36,10313,Spain
540212,22554,PLASTERS IN TIN WOODLAND ANIMALS,12,2024-06-02 00:33,1.82,10313,Spain
546137,20727,LUNCH BAG BLACK SKULL,9,2024-06-02 03:25,1.64,10784,Netherlands
546137,22720,SET OF 3 CAKE TINS PANTRY DESIGN,3,2024-06-02 03:25,5.41,10784,Netherlands
546137,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2024-06-02 03:25,2.4,10784,Netherlands
546137,85099B,JUMBO BAG RED RETROSPOT,8,2024-06-02 03:25,1.7,10784,Netherlands
546137,47566,PARTY BUNTING,3,2024-06-02 03:25,4.79,10784,Netherlands
546137,22457,NATURAL SLATE HEART MEMO BOARD,5,2024-06-02 03:25,3.02,10784,Netherlands
540961,22960,JAM MAKING SET WITH JARS,2,2024-06-02 05:03,4.02,10372,Germany
540961,22556,PLASTERS IN TIN CIRCUS PARADE,4,2024-06-02 05:03,1.75,10372,Germany
540961,22086,PAPER CHAIN KIT 50'S CHRISTMAS,2,2024-06-02 05:03,3.24,10372,Germany
550423,22469,HEART OF WICKER SMALL,3,2024-06-02 15:00,1.58,11116,United Kingdom
550423,22197,POPCORN HOLDER,6,2024-06-02 15:00,0.81,11116,United Kingdom
550423,21212,PACK OF 72 RETROSPOT PAPER  CASES,9,2024-06-02 15:00,0.47,11116,United Kingdom
550423,22960,JAM MAKING SET WITH JARS,1,2024-06-02 15:00,4.24,11116,United Kingdom
550423,20725,LUNCH BAG RED RETROSPOT,3,2024-06-02 15:00,1.52,11116,United Kingdom
550423,21931,JUMBO STORAGE BAG SUKI,2,2024-06-02 15:00,1.96,11116,United Kingdom
550394,22457,NATURAL SLATE HEART MEMO BOARD,3,2024-06-02 21:35,3.16,11112,United Kingdom
550394,21731,RED TOADSTOOL LED NIGHT LIGHT,6,2024-06-02 21:35,1.31,11112,United Kingdom
546138,21212,PACK OF 72 RETROSPOT PAPER  CASES,25,2024-06-02 23:44,0.45,10784,Netherlands
546138,20728,LUNCH BAG CARS BLUE,7,2024-06-02 23:44,1.63,10784,Netherlands
546138,22086,PAPER CHAIN KIT 50'S CHRISTMAS,4,2024-06-02 23:44,2.96,10784,Netherlands
546138,20725,LUNCH BAG RED RETROSPOT,7,2024-06-02 23:44,1.61,10784,Netherlands
546138,85099B,JUMBO BAG RED RETROSPOT,6,2024-06-02 23:44,1.99,10784,Netherlands
546212,21731,RED TOADSTOOL LED NIGHT LIGHT,5,2024-06-03 02:59,1.38,10794,United Kingdom
546212,47566,PARTY BUNTING,1,2024-06-03 02:59,4.81,10794,United Kingdom
537147,22457,NATURAL SLATE HEART MEMO BOARD,10,2024-06-03 11:02,3.35,10068,Spain
546139,22457,NATURAL SLATE HEART MEMO BOARD,4,2024-06-03 11:22,3.13,10784,Netherlands
546139,22469,HEART OF WICKER SMALL,8,2024-06-03 11:22,1.46,10784,Netherlands
546139,21731,RED TOADSTOOL LED NIGHT LIGHT,8,2024-06-03 11:22,1.43,10784,Netherlands
546139,22720,SET OF 3 CAKE TINS PANTRY DESIGN,2,2024-06-03 11:22,5.6,10784,Netherlands
546139,20725,LUNCH BAG RED RETROSPOT,7,2024-06-03 11:22,1.54,10784,Netherlands
546139,22423,REGENCY CAKESTAND 3 TIER,1,2024-06-03 11:22,14.14,10784,Netherlands
546139,84879,ASSORTED COLOUR BIRD ORNAMENT,6,2024-06-03 11:22,1.82,10784,Netherlands
546139,21931,JUMBO STORAGE BAG SUKI,5,2024-06-03 11:22,2.3,10784,Netherlands
545394,85099B,JUMBO BAG RED RETROSPOT,6,2024-06-03 15:27,2.02,10729,Germany
545394,21931,JUMBO STORAGE BAG SUKI,6,2024-06-03 15:27,2.0,10729,Germany
545394,47566,PARTY BUNTING,2,2024-06-03 15:27,5.94,10729,Germany
537148,22197,POPCORN HOLDER,24,2024-06-03 22:06,0.83,10068,Spain
537148,22383,LUNCH BAG SUKI DESIGN,12,2024-06-03 22:06,1.62,10068,Spain
546594,85099B,JUMBO BAG RED RETROSPOT,3,2024-06-03 22:14,1.72,10826,France
546594,20727,LUNCH BAG BLACK SKULL,3,2024-06-03 22:14,1.56,10826,France
546594,22720,SET OF 3 CAKE TINS PANTRY DESIGN,1,2024-06-03 22:14,5.71,10826,France
546594,22423,REGENCY CAKESTAND 3 TIER,1,2024-06-03 22:14,12.53,10826,France
546594,22197,POPCORN HOLDER,6,2024-06-03 22:14,0.84,10826,France
546594,22556,PLASTERS IN TIN CIRCUS PARADE,3,2024-06-03 22:14,1.91,10826,France
545625,47566,PARTY BUNTING,16,2024-06-04 08:06,4.66,10747,France
549755,85099B,JUMBO BAG RED RETROSPOT,2,2024-06-04 14:23,1.97,11062,Spain
549755,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,2024-06-04 14:23,2.85,11062,Spain
549755,22423,REGENCY CAKESTAND 3 TIER,1,2024-06-04 14:23,13.13,11062,Spain
549755,84879,ASSORTED COLOUR BIRD ORNAMENT,2,2024-06-04 14:23,1.83,11062,Spain
549755,20725,LUNCH BAG RED RETROSPOT,3,2024-06-04 14:23,1.63,11062,Spain
549755,21931,JUMBO STORAGE BAG SUKI,2,2024-06-04 14:23,2.16,11062,Spain
549755,20728,LUNCH BAG CARS BLUE,3,2024-06-04 14:23,1.52,11062,Spain
549755,22960,JAM MAKING SET WITH JARS,1,2024-06-04 14:23,3.77,11062,Spain
543867,22086,PAPER CHAIN KIT 50'S CHRISTMAS,1,2024-06-04 14:40,2.88,10607,Germany
543867,47566,PARTY BUNTING,1,2024-06-04 14:40,5.73,10607,Germany
543867,22423,REGENCY CAKESTAND 3 TIER,1,2024-06-04 14:40,11.35,10607,Germany
543867,22556,PLASTERS IN TIN CIRCUS PARADE,1,2024-06-04 14:40,1.65,10607,Germany
543867,22197,POPCORN HOLDER,2,2024-06-04 14:40,0.73,10607,Germany
543867,22960,JAM MAKING SET WITH JARS,1,2024-06-04 14:40,4.05,10607,Germany
543867,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,2024-06-04 14:40,2.85,10607,Germany
543867,22554,PLASTERS IN TIN WOODLAND ANIMALS,1,2024-06-04 14:40,1.8,10607,Germany
550725,47566,PARTY BUNTING,3,2024-06-04 15:22,4.16,11134,United Kingdom
550725,22457,NATURAL SLATE HEART MEMO BOARD,3,2024-06-04 15:22,3.16,11134,United Kingdom
550725,22469,HEART OF WICKER SMALL,7,2024-06-04 15:22,1.5,11134,United Kingdom
550725,22554,PLASTERS IN TIN WOODLAND ANIMALS,6,2024-06-04 15:22,1.83,11134,United Kingdom
550725,22086,PAPER CHAIN KIT 50'S CHRISTMAS,4,2024-06-04 15:22,2.7,11134,United Kingdom
545765,47566,PARTY BUNTING,1,2024-06-05 18:44,5.08,10758,Netherlands
545765,22469,HEART OF WICKER SMALL,3,2024-06-05 18:44,1.63,10758,Netherlands
545765,22086,PAPER CHAIN KIT 50'S CHRISTMAS,2,2024-06-05 18:44,2.57,10758,Netherlands
545765,22960,JAM MAKING SET WITH JARS,1,2024-06-05 18:44,4.14,10758,Netherlands
545765,21931,JUMBO STORAGE BAG SUKI,2,2024-06-05 18:44,2.34,10758,Netherlands
546140,21212,PACK OF 72 RETROSPOT PAPER  CASES,74,2024-06-05 23:00,0.51,10784,Netherlands
546140,84879,ASSORTED COLOUR BIRD ORNAMENT,21,2024-06-05 23:00,1.79,10784,Netherlands
546140,47566,PARTY BUNTING,7,2024-06-05 23:00,5.61,10784,Netherlands
539702,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2024-06-06 11:54,1.63,10274,EIRE
539702,22457,NATURAL SLATE HEART MEMO BOARD,4,2024-06-06 11:54,3.48,10274,EIRE
539702,21212,PACK OF 72 RETROSPOT PAPER  CASES,27,2024-06-06 11:54,0.48,10274,EIRE
543109,84879,ASSORTED COLOUR BIRD ORNAMENT,60,2024-06-06 19:42,1.54,10535,Spain
546530,47566,PARTY BUNTING,1,2024-06-06 23:45,5.06,10820,EIRE
546530,22469,HEART OF WICKER SMALL,3,2024-06-06 23:45,1.48,10820,EIRE
546530,21212,PACK OF 72 RETROSPOT PAPER  CASES,9,2024-06-06 23:45,0.54,10820,EIRE
546530,21931,JUMBO STORAGE BAG SUKI,2,2024-06-06 23:45,1.99,10820,EIRE
546530,21731,RED TOADSTOOL LED NIGHT LIGHT,3,2024-06-06 23:45,1.63,10820,EIRE
546530,20728,LUNCH BAG CARS BLUE,3,2024-06-06 23:45,1.51,10820,EIRE
546531,21731,RED TOADSTOOL LED NIGHT LIGHT,8,2024-06-07 04:11,1.55,10820,EIRE
546531,20727,LUNCH BAG BLACK SKULL,8,2024-06-07 04:11,1.54,10820,EIRE
546531,84879,ASSORTED COLOUR BIRD ORNAMENT,7,2024-06-07 04:11,1.71,10820,EIRE
551125,20727,LUNCH BAG BLACK SKULL,4,2024-06-08 01:16,1.46,11167,EIRE
551125,22554,PLASTERS IN TIN WOODLAND ANIMALS,3,2024-06-08 01:16,1.89,11167,EIRE
551125,21931,JUMBO STORAGE BAG SUKI,3,2024-06-08 01:16,2.13,11167,EIRE
